"var1","var2","spearman_corr","p_value"
"lipids1","lipids5",0.999419931876234,0
"lipids2","lipids4",0.883603990520234,0
"lipid_pero2","lipid_pero3",0.770012088450347,0
"hormone3","hormone4",0.58419632281103,0
"factor_h","factor_pcos",-0.523464852633688,0
"lipid_pero1","lipid_pero2",0.44429795084511,0
"factor_h","hormone5",0.433354800829333,0
"factor_prl","hormone2",0.433288751125326,0
"lipid_pero1","lipid_pero3",0.381599895905147,0
"antioxidant4","antioxidant5",0.333839871509621,0
"hormone4","hormone7",-0.325004442404914,0
"factor_pcos","hormone6",0.303425457823929,0
"lipids2","lipids5",0.283048568077975,0
"lipids1","lipids2",0.276406505285185,0
"factor_pcos","hormone8",-0.267409951538057,0
"hormone5","hormone8",0.260334212771727,0
"factor_pcos","hormone5",-0.243288714617943,0.002
"hormone3","hormone5",0.241720995119979,0
"factor_h","hormone8",0.221340784949577,0
"lipid_pero2","lipid_pero4",0.200272728036759,0
"hormone7","hormone10_generated",0.199892434280651,0
"factor_pcos","hormone3",-0.191977728927109,0.018
"lipid_pero2","antioxidant5",0.189098243931745,0
"factor_h","hormone6",-0.188121722276859,0
"factor_pcos","hormone4",-0.182098792289541,0.014
"lipids5","сarb_metabolism",0.178594604931208,0
"hormone1","hormone2",0.175883713308018,0
"factor_eth","hormone2",0.172550002949802,0
"hormone2","hormone10_generated",0.166496333698968,0
"lipids1","сarb_metabolism",0.165217980119859,0
"lipid_pero1","lipid_pero4",0.164508399904137,0
"factor_eth","factor_h",0.164154601160459,0
"factor_pcos","lipids3",0.162482034183635,0.042
"hormone2","hormone7",0.157343011030985,0
"hormone5","hormone7",0.154715157385783,0
"hormone6","hormone8",-0.151986859865261,0
"lipids3","lipids5",-0.149319832177215,0
"lipids4","lipids5",0.14677003668309,0
"hormone4","hormone10_generated",-0.143287622843152,0
"factor_pcos","antioxidant1",-0.142187915941038,0.076
"lipid_pero3","antioxidant5",0.140948977917637,0
"lipids1","lipids4",0.138995061770383,0
"lipid_pero3","lipid_pero4",0.138488081861247,0
"factor_pcos","hormone10_generated",0.138317196183426,0.058
"lipids1","lipids3",-0.132290426855675,0
"hormone8","antioxidant5",-0.131801969187175,0
"factor_h","hormone3",0.126826481206335,0
"hormone8","antioxidant4",-0.125823951928719,0
"hormone6","hormone7",0.12452650688138,0
"hormone2","lipids1",-0.123989529190009,0
"lipids2","lipids3",0.121523240852357,0
"lipids3","lipids4",-0.121448237717254,0
"antioxidant2","antioxidant3",0.120874590832095,0
"factor_pcos","antioxidant3",-0.120324264940438,0.11
"factor_eth","сarb_metabolism",-0.119871614743012,0
"factor_eth","factor_prl",0.119346048379007,0
"factor_eth","factor_pcos",-0.118425092382394,0.116
"lipids2","сarb_metabolism",0.11515703048499,0
"hormone5","antioxidant4",-0.109488507130818,0.004
"hormone2","hormone3",0.107015396153757,0
"hormone4","antioxidant5",0.105873861220714,0
"lipids4","сarb_metabolism",0.103669760166694,0
"factor_pcos","antioxidant4",-0.103431291633998,0.136
"factor_eth","hormone8",-0.101131408871118,0
"hormone2","lipids5",-0.09974626753904,0.008
"factor_pcos","lipid_pero5",0.0983260840542147,0.218
"hormone3","сarb_metabolism",-0.0968885431831844,0.002
