"Variable","Group","N","Mean","SD","Best_Distribution","BIC","Parameters"
"hormone1",0,987,1.824,1.58,"lognormal",2634,"meanlog 0.405; sdlog 0.609"
"hormone1",1,160,1.658,0.862,"lognormal",367.18,"meanlog 0.383; sdlog 0.504"
"hormone2",0,987,375.148,255.411,"lognormal",13004.18,"meanlog 5.768; sdlog 0.546"
"hormone2",1,160,411.956,270.886,"lognormal",2130.94,"meanlog 5.881; sdlog 0.51"
"hormone3",0,987,8.991,11.582,"exponential",6316.21,"rate 0.111"
"hormone3",1,160,9.911,11.79,"lognormal",1030.06,"meanlog 1.872; sdlog 0.901"
"hormone4",0,987,7.508,10.922,"lognormal",5432.54,"meanlog 1.702; sdlog 0.686"
"hormone4",1,160,9.401,13.436,"lognormal",965.41,"meanlog 1.842; sdlog 0.759"
"hormone5",0,987,335.608,332.255,"exponential",13461.57,"rate 0.003"
"hormone5",1,160,276.449,235.445,"exponential",2124.12,"rate 0.004"
"hormone6",0,987,78.89,53.989,"lognormal",10253.87,"meanlog 4.153; sdlog 0.681"
"hormone6",1,160,75.754,48.684,"lognormal",1660.27,"meanlog 4.12; sdlog 0.682"
"hormone7",0,987,5.625,3.899,"exponential",5390.51,"rate 0.178"
"hormone7",1,160,5.65,3.97,"lognormal",865.11,"meanlog 1.477; sdlog 0.799"
"hormone8",0,987,180.02,87.23,"lognormal",11453.7,"meanlog 5.077; sdlog 0.496"
"hormone8",1,160,153.762,70.964,"lognormal",1811.25,"meanlog 4.924; sdlog 0.489"
"hormone10_generated",0,987,0.762,8.298,"lognormal",216.57,"meanlog -0.87; sdlog 0.64"
"hormone10_generated",1,160,0.508,0.366,"lognormal",38.96,"meanlog -0.872; sdlog 0.633"
"lipids1",0,987,0.957,0.387,"lognormal",818.46,"meanlog -0.125; sdlog 0.412"
"lipids1",1,160,0.985,0.37,"lognormal",143.9,"meanlog -0.091; sdlog 0.403"
"lipids2",0,987,4.461,0.911,"lognormal",2539.45,"meanlog 1.475; sdlog 0.199"
"lipids2",1,160,4.764,0.962,"lognormal",432.81,"meanlog 1.542; sdlog 0.194"
"lipids3",0,987,1.104,0.277,"lognormal",223.63,"meanlog 0.068; sdlog 0.251"
"lipids3",1,160,1.115,0.266,"lognormal",28.06,"meanlog 0.081; sdlog 0.236"
"lipids4",0,987,2.928,0.875,"lognormal",2458.57,"meanlog 1.031; sdlog 0.298"
"lipids4",1,160,3.198,0.945,"lognormal",427.39,"meanlog 1.12; sdlog 0.291"
"lipids5",0,987,0.426,0.155,"lognormal",-989.15,"meanlog -0.918; sdlog 0.365"
"lipids5",1,160,0.447,0.157,"normal",-128.85,"mean 0.447; sd 0.157"
"сarb_metabolism",0,987,4.895,0.807,"lognormal",2272.48,"meanlog 1.576; sdlog 0.157"
"сarb_metabolism",1,160,4.86,0.708,"normal",352.55,"mean 4.86; sd 0.705"
"lipid_pero1",0,987,2.068,0.803,"lognormal",2313.05,"meanlog 0.649; sdlog 0.405"
"lipid_pero1",1,160,2.181,0.836,"lognormal",402.53,"meanlog 0.702; sdlog 0.409"
"lipid_pero2",0,987,1.384,0.57,"lognormal",1645.88,"meanlog 0.237; sdlog 0.436"
"lipid_pero2",1,160,1.448,0.616,"lognormal",297.42,"meanlog 0.276; sdlog 0.451"
"lipid_pero3",0,987,0.682,0.374,"lognormal",624.69,"meanlog -0.533; sdlog 0.562"
"lipid_pero3",1,160,0.755,0.421,"lognormal",161.29,"meanlog -0.448; sdlog 0.607"
"lipid_pero4",0,987,1.432,0.803,"lognormal",1928.59,"meanlog 0.236; sdlog 0.504"
"lipid_pero4",1,160,1.495,0.706,"lognormal",332.66,"meanlog 0.287; sdlog 0.498"
"lipid_pero5",0,987,11.879,3.609,"lognormal",5340.84,"meanlog 2.426; sdlog 0.318"
"lipid_pero5",1,160,11.764,3.283,"normal",843.58,"mean 11.764; sd 3.272"
"antioxidant1",0,987,1.621,0.189,"normal",-473.29,"mean 1.621; sd 0.189"
"antioxidant1",1,160,1.622,0.164,"normal",-115.4,"mean 1.622; sd 0.163"
"antioxidant2",0,987,2.346,0.466,"lognormal",1263.79,"meanlog 0.833; sdlog 0.198"
"antioxidant2",1,160,2.3,0.448,"lognormal",195.49,"meanlog 0.815; sdlog 0.191"
"antioxidant3",0,987,1.976,0.369,"normal",847.42,"mean 1.976; sd 0.369"
"antioxidant3",1,160,1.948,0.357,"lognormal",132.71,"meanlog 0.65; sdlog 0.185"
"antioxidant4",0,987,7.732,3.146,"normal",5076.49,"mean 7.732; sd 3.145"
"antioxidant4",1,160,8.566,3.117,"lognormal",813.41,"meanlog 2.081; sdlog 0.372"
"antioxidant5",0,987,0.68,0.291,"lognormal",72.3,"meanlog -0.467; sdlog 0.397"
"antioxidant5",1,160,0.764,0.287,"lognormal",27.02,"meanlog -0.334; sdlog 0.356"
