"Trait1"	"Trait2"	"Spearman_r"	"P_value"
"Высота_генеративного_побега"	"Длина_первого_листа"	0.662	0
"Высота_генеративного_побега"	"Ширина_первого_листа"	0.344	0.00045
"Высота_генеративного_побега"	"Длина_второго_листа"	0.689	0
"Высота_генеративного_побега"	"Ширина_второго_листа"	0.477	0
"Высота_генеративного_побега"	"Длина_внешнего_околоцветника"	0.496	0
"Высота_генеративного_побега"	"Длина_внутреннего_околоцветника"	0.45	0
"Высота_генеративного_побега"	"Высота_тычинки"	0.395	5e-05
"Высота_генеративного_побега"	"Высота_пестика"	0.419	1e-05
"Длина_первого_листа"	"Ширина_первого_листа"	0.635	0
"Длина_первого_листа"	"Длина_второго_листа"	0.944	0
"Длина_первого_листа"	"Ширина_второго_листа"	0.622	0
"Длина_первого_листа"	"Длина_внешнего_околоцветника"	0.456	0
"Длина_первого_листа"	"Длина_внутреннего_околоцветника"	0.38	1e-04
"Длина_первого_листа"	"Высота_тычинки"	0.331	0.00077
"Длина_первого_листа"	"Высота_пестика"	0.208	0.03788
"Ширина_первого_листа"	"Длина_второго_листа"	0.62	0
"Ширина_первого_листа"	"Ширина_второго_листа"	0.797	0
"Ширина_первого_листа"	"Длина_внешнего_околоцветника"	0.339	0.00057
"Ширина_первого_листа"	"Ширина_внешнего_околоцветника"	0.323	0.00106
"Ширина_первого_листа"	"Длина_внутреннего_околоцветника"	0.326	0.00092
"Ширина_первого_листа"	"Ширина_внутреннего_околоцветника"	0.207	0.0386
"Ширина_первого_листа"	"Высота_тычинки"	0.387	7e-05
"Ширина_первого_листа"	"Высота_пестика"	0.212	0.03456
"Длина_второго_листа"	"Ширина_второго_листа"	0.627	0
"Длина_второго_листа"	"Длина_внешнего_околоцветника"	0.491	0
"Длина_второго_листа"	"Ширина_внешнего_околоцветника"	0.222	0.02657
"Длина_второго_листа"	"Длина_внутреннего_околоцветника"	0.396	5e-05
"Длина_второго_листа"	"Высота_тычинки"	0.326	0.00094
"Ширина_второго_листа"	"Длина_внешнего_околоцветника"	0.372	0.00014
"Ширина_второго_листа"	"Ширина_внешнего_околоцветника"	0.38	1e-04
"Ширина_второго_листа"	"Длина_внутреннего_околоцветника"	0.382	9e-05
"Ширина_второго_листа"	"Ширина_внутреннего_околоцветника"	0.248	0.01302
"Ширина_второго_листа"	"Высота_тычинки"	0.469	0
"Ширина_второго_листа"	"Высота_пестика"	0.273	0.00606
"Длина_внешнего_околоцветника"	"Ширина_внешнего_околоцветника"	0.599	0
"Длина_внешнего_околоцветника"	"Длина_внутреннего_околоцветника"	0.924	0
"Длина_внешнего_околоцветника"	"Ширина_внутреннего_околоцветника"	0.49	0
"Длина_внешнего_околоцветника"	"Высота_тычинки"	0.454	0
"Длина_внешнего_околоцветника"	"Высота_пестика"	0.597	0
"Ширина_внешнего_околоцветника"	"Длина_внутреннего_околоцветника"	0.637	0
"Ширина_внешнего_околоцветника"	"Ширина_внутреннего_околоцветника"	0.879	0
"Ширина_внешнего_околоцветника"	"Высота_тычинки"	0.246	0.01376
"Ширина_внешнего_околоцветника"	"Высота_пестика"	0.342	0.00049
"Длина_внутреннего_околоцветника"	"Ширина_внутреннего_околоцветника"	0.57	0
"Длина_внутреннего_околоцветника"	"Высота_тычинки"	0.544	0
"Длина_внутреннего_околоцветника"	"Высота_пестика"	0.61	0
"Ширина_внутреннего_околоцветника"	"Высота_тычинки"	0.205	0.04055
"Ширина_внутреннего_околоцветника"	"Высота_пестика"	0.292	0.00319
"Высота_тычинки"	"Высота_пестика"	0.294	0.00302
